artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
Jean-Marc Nattier,1744,genre painting,3080,2447,1131813,wikiart,Rococo,Die Liebenden,train_only,TRUE,102828.jpg
Heinrich Schonfeld,,genre painting,2536,2971,568395,wikipedia,Baroque,Hochzeit zu Kana,train_only,TRUE,29724.jpg
Luis Dourdil,,genre painting,3163,2382,3745523,wikiart,Expressionism,Mural,train_only,TRUE,1559.jpg
Vincent van Gogh,1885,cityscape,2399,3140,6915108,wikiart,Realism,Backyards of Old Houses in Antwerp in the Snow,train_and_test,TRUE,67895.jpg
Vincent van Gogh,1890,portrait,2739,2750,5404238,wikiart,Cloisonnism,Two Children,train_and_test,TRUE,1426.jpg
Hiroshige,,genre painting,3948,1907,2976295,wikipedia,Ukiyo-e,Japanese triptych print showing Japanese and foreign people walking along the Sumida River among cherry trees in full bloom,train_and_test,TRUE,52150.jpg
Theodor Severin Kittelsen,,genre painting,2379,3164,2176368,wikiart,Neo-Romanticism,Hoest,train_and_test,TRUE,7783.jpg
Lucas Cranach the Elder,1529,genre painting,3255,2312,16015021,wikiart,Northern Renaissance,Stag Hunt of Elector Friedrich III the Wise,train_and_test,TRUE,11296.jpg
Eugene de Blaas,,genre painting,3316,2268,2800894,wikiart,Academicism,The Garden Arbor,train_and_test,TRUE,5898.jpg
Francisco Goya,1788,genre painting,4096,1836,4613199,wikiart,Romanticism,The Meadow of San Isidro on his Feast Day,train_and_test,TRUE,94051.jpg
Thomas Gainsborough,,portrait,2400,3133,1069326,wikiart,Rococo,"James Maitland, 8th Earl of Lauderdale",train_and_test,TRUE,99818.jpg
Shitao,1707,genre painting,2285,3288,2003074,wikiart,Ink and wash painting,Man alone,train_and_test,TRUE,49758.jpg
Edgar Degas,1867,portrait,2388,3146,1265739,wikiart,Impressionism,Edmond and Thérèse Morbilli,train_and_test,TRUE,11295.jpg
Edwin Henry Landseer,,sketch and study,2400,3130,1125633,wikiart,Romanticism,"Elizabeth Vassall Fox, Lady Holland Henry Richard Vassall Fox, 3rd Baron Holland Mrs Brown",train_only,TRUE,78308.jpg
Suzanne Valadon,1924,genre painting,2488,3019,2056365,wikiart,Post-Impressionism,Women in white stockings,train_and_test,TRUE,14061.jpg
Serge Sudeikin,,landscape,2494,3011,2112153,wikiart,Expressionism,Apple Picking,train_and_test,TRUE,66162.jpg
Albrecht Durer,,sketch and study,2536,2958,729926,wikiart,Northern Renaissance,Arm of Lucretia,train_and_test,TRUE,63492.jpg
Ferdinand Hodler,c.1912,sketch and study,2220,3378,3211972,wikiart,Art Nouveau (Modern),Swearing to the right,train_and_test,TRUE,52876.jpg
Konrad Witz,1444,religious painting,2920,2568,3649745,wikipedia,Northern Renaissance,The Miraculous Draught of Fishes (Peter's altar table),train_and_test,TRUE,25730.jpg
Ferdinand Georg Waldmüller,c.1860,genre painting,2499,3000,3840515,wikiart,Biedermeier,The expected woman,train_and_test,TRUE,21993.jpg
Maerten van Heemskerck,c.1550,religious painting,2250,3330,1451355,wikiart,Mannerism (Late Renaissance),Gideon / Adam and Eve,train_and_test,TRUE,50226.jpg
Raoul Dufy,1908,portrait,2411,3106,2181786,wikiart,Post-Impressionism,The Woman in Pink,train_and_test,TRUE,78914.jpg
Vincent van Gogh,1888,landscape,2870,2609,8288607,wikiart,Japonism,The Langlois Bridge at Arles with Women Washing,train_and_test,TRUE,87809.jpg
Edgar Degas,1879,portrait,2708,2765,1425713,wikiart,Impressionism,Edmond Duranty,train_and_test,TRUE,7614.jpg
Camille Corot,c.1860,landscape,3300,2268,4266439,wikiart,Realism,Landscape,train_and_test,TRUE,65691.jpg
Honore Daumier,1869,genre painting,2302,3250,1505931,wikiart,Impressionism,Pierrot with Guitar,train_and_test,TRUE,56418.jpg
Serge Sudeikin,1927,design,2190,3416,2110115,wikiart,Art Nouveau (Modern),"Costume study for a chancelor from ""The Magic Flute""",train_and_test,TRUE,62391.jpg
Giovanni Battista Tiepolo,1750,allegorical painting,4096,1826,550174,wikiart,Rococo,Neptune Offering Gifts to Venice,train_and_test,TRUE,103129.jpg
Honore Daumier,,genre painting,2299,3252,870341,wikiart,Romanticism,Painter dividing into sheets a paperboard of drawing,train_and_test,TRUE,98820.jpg
William Turner,1810,genre painting,3176,2354,419648,wikiart,Romanticism,The big connection channel at Southall Mill,train_and_test,TRUE,30734.jpg
Raoul Dufy,1930,portrait,2384,3136,1666094,wikiart,Post-Impressionism,Portrait of Mrs. Dufy,train_and_test,TRUE,77677.jpg
Edgar Degas,1880,genre painting,2356,3173,1633618,wikiart,Impressionism,The Dancing Examination,train_and_test,TRUE,84017.jpg
Alfred Sisley,1866,landscape,3176,2353,667062,wikiart,Realism,Avenue of trees in a small town,train_and_test,TRUE,91491.jpg
Edgar Degas,1880,genre painting,2676,2792,1702450,wikiart,Impressionism,"Ballet Class, the Dance Hall",train_and_test,TRUE,44022.jpg
William-Adolphe Bouguereau,,sketch and study,2490,3000,3574595,wikiart,Neoclassicism,Study Of A Woman For Offering To Love,train_and_test,TRUE,70450.jpg
Tintoretto,,portrait,2432,3071,1148088,wikiart,Mannerism (Late Renaissance),Portrait of a man,train_and_test,TRUE,80049.jpg
Lucas Cranach the Elder,c.1520,religious painting,2244,3328,2361048,wikiart,Northern Renaissance,Virgin and Child with St. Anne,train_and_test,TRUE,48088.jpg
Shitao,1707,flower painting,2274,3284,1507518,wikiart,Ink and wash painting,Flowery branch,train_and_test,TRUE,14150.jpg
Titian,1546,portrait,2536,2942,422156,wikiart,Mannerism (Late Renaissance),"Portrait of Pope Paul III, Cardinal Alessandro Farnese and Duke Ottavio Farnese",train_and_test,TRUE,2177.jpg
Konstantinos Volanakis,,cityscape,3420,2181,751413,wikiart,Realism,Moonlit harbour,train_and_test,TRUE,64314.jpg
Koloman Moser,c.1895,illustration,2628,2838,3638650,wikiart,Art Nouveau (Modern),A modern Tantalus. Illustration for 'Meggendorfer leaves'.,train_and_test,TRUE,87224.jpg
Claude Lorrain,1637,genre painting,3176,2348,910305,wikiart,Classicism,Harbour with Villa Medici,train_and_test,TRUE,71552.jpg
Paul Cezanne,c.1870,still life,3176,2347,735063,wikiart,Romanticism,The Black Marble Clock ,train_and_test,TRUE,50999.jpg
Giulio Turcato,1957,abstract,3003,2480,4614058,wikiart,Lyrical Abstraction,Composizione grigio-rosa,train_and_test,TRUE,37039.jpg
Albrecht Durer,,sketch and study,2482,3000,702738,wikiart,Northern Renaissance,Study sheet with the attacked animals,train_and_test,TRUE,53847.jpg
Pietro Perugino,,portrait,2208,3372,707948,wikiart,Early Renaissance,Portrait of a young man ,train_and_test,TRUE,72688.jpg
Luc-Olivier Merson,1885,design,2674,2784,4266985,wikiart,Romanticism,Danse de fiançailles,train_and_test,TRUE,46078.jpg
Shitao,1707,flower painting,2264,3288,1549672,wikiart,Ink and wash painting,Vegetable Gardens,train_and_test,TRUE,99838.jpg
Albrecht Durer,,allegorical painting,2479,3000,980175,wikiart,Northern Renaissance,Horse final death,train_and_test,TRUE,37145.jpg
Nicolas Poussin,1627,genre painting,3176,2341,674848,wikiart,Classicism,The Death of Germanicus,train_and_test,TRUE,66624.jpg
Gustav Klimt,1901,portrait,2024,3672,1606815,wikiart,Symbolism,Portrait of Rose von Rosthorn-Friedmann,train_and_test,TRUE,99539.jpg
Bernardo Strozzi,c.1625,religious painting,2527,2941,1505437,wikiart,Tenebrism,Saint Antony of Padua holding Baby Jesus,train_only,TRUE,92814.jpg
Paul Cezanne,1906,landscape,3176,2340,1104826,wikiart,Cubism,River at the bridge of the three sources,train_and_test,TRUE,49352.jpg
Paul Cezanne,1895,still life,3180,2336,2887351,wikiart,Post-Impressionism,Still Life with Curtain and Flowered Pitcher,train_and_test,TRUE,9156.jpg
Albrecht Durer,,sketch and study,2536,2929,621267,wikiart,Northern Renaissance,Study of a body of Christ,train_and_test,TRUE,15075.jpg
Albrecht Durer,,religious painting,2297,3232,1590005,wikiart,Northern Renaissance,The Holy georg,train_and_test,TRUE,48879.jpg
James Tissot,1873,genre painting,3167,2344,1183491,wikiart,Realism,The Captain and the Mate,train_and_test,TRUE,97978.jpg
Eugene de Blaas,,portrait,2474,3000,1078999,wikiart,Academicism,Portrait of a Lady,train_and_test,TRUE,36342.jpg
Titian,1538,portrait,2536,2925,565618,wikiart,High Renaissance,Portrait of Francesco Maria della Rovere,train_and_test,TRUE,31376.jpg
Felix Vallotton ,1924,landscape,3055,2428,2292433,wikiart,Magic Realism,Houses and reeds,train_and_test,TRUE,65022.jpg
Henry Raeburn,c.1811,portrait,2400,3090,684110,wikiart,Romanticism,John Playfair,train_and_test,TRUE,13761.jpg
Camille Pissarro,1874,landscape,3176,2335,811302,wikiart,Impressionism,The Hermitage at Pontoise,train_and_test,TRUE,25299.jpg
Paul Cezanne,1875,genre painting,3176,2334,837995,wikiart,Impressionism,A Painter at Work,train_and_test,TRUE,96231.jpg
Thomas Eakins,c.1895,portrait,2311,3207,1901058,wikipedia,Realism,Captain Joseph Lapsley Wilson ,train_and_test,TRUE,33623.jpg
Paula Modersohn-Becker,c.1900,landscape,3200,2316,734693,wikiart,Expressionism,Marsh channel with peat barges,train_and_test,TRUE,16901.jpg
Albrecht Durer,,portrait,2536,2922,762951,wikiart,Northern Renaissance,Landsknecht,train_and_test,TRUE,7187.jpg
Edgar Degas,1877,portrait,2332,3176,1549188,wikiart,Impressionism,"Tuileries, the woman with a parasol",train_and_test,TRUE,42660.jpg
Dante Gabriel Rossetti,1877,sketch and study,2446,3026,1392897,wikiart,Romanticism,Annie Miller,train_and_test,TRUE,22770.jpg
Titian,c.1545,portrait,2536,2918,338953,wikiart,Mannerism (Late Renaissance),Portrait of a Young Man (The young Englishman),train_and_test,TRUE,8222.jpg
Rembrandt,1661,self-portrait,2434,3040,1382385,wikiart,Baroque,Self-portrait as the Apostle Paul,train_and_test,TRUE,1680.jpg
Pierre-Auguste Renoir,c.1880,genre painting,2959,2500,3101665,wikiart,Impressionism,By the Water (Near the Lake),train_and_test,TRUE,3603.jpg
Edgar Degas,1886,portrait,2329,3176,1232868,wikiart,Impressionism,Helene Rouart in Her Father s Study,train_and_test,TRUE,28594.jpg
Honore Daumier,,genre painting,2316,3192,3888933,wikiart,Realism,Fighting Bricklayer,train_and_test,TRUE,53074.jpg
Jusepe de Ribera,c.1635,religious painting,2423,3051,1311501,wikiart,Tenebrism,The Trinity,train_and_test,TRUE,69261.jpg
Guido Reni,1625,mythological painting,3200,2310,556961,wikiart,Baroque,Atalanta and Hippomenes,train_and_test,TRUE,91789.jpg
John Constable,,landscape,2462,3000,9225105,wikiart,Romanticism,Cenotaph to the Memory of Sir Joshua Reynolds,train_and_test,TRUE,58700.jpg
Nicolas Poussin,1630,religious painting,3176,2325,863704,wikiart,Classicism,The Plague at Ashod,train_and_test,TRUE,56789.jpg
Frederic Leighton,1879,portrait,2135,3456,5118929,wikiart,Academicism,The Countess Brownlow ,train_and_test,TRUE,54857.jpg
Eugene Boudin,1898,marina,3129,2358,1739629,wikiart,Impressionism,Marina,train_and_test,TRUE,90352.jpg
Shitao,1707,flower painting,2263,3260,1732191,wikiart,Ink and wash painting,Bamboo and Rock,train_and_test,TRUE,9523.jpg
Gustave Courbet,c.1873,marina,3000,2459,2003633,wikiart,Realism,"Seascape, the Poplar",train_and_test,TRUE,33773.jpg
Sven Jonson,,landscape,3000,2458,2930415,wikiart,Surrealism,The Star,train_and_test,TRUE,60289.jpg
Georges de la Tour,1620,genre painting,3563,2069,1601393,wikiart,Tenebrism,The Beggars' Brawl,train_only,TRUE,52874.jpg
Paul Cezanne,1864,mythological painting,3200,2303,844647,wikiart,Romanticism,The Judgement of Paris,train_and_test,TRUE,57427.jpg
Felix Vallotton ,c.1905,sketch and study,3948,1866,2278381,wikiart,Realism,Reclining Female Nude,train_and_test,TRUE,52938.jpg
Ivan Bilibin,1903,illustration,2100,3508,6009312,wikiart,Art Nouveau (Modern),Cover for the collection of fairy tales,train_and_test,TRUE,18894.jpg
William Turner,1803,landscape,3200,2302,445794,wikiart,Romanticism,"Bonneville, Savoy with Mont Blanc",train_and_test,TRUE,101496.jpg
Raoul Dufy,1909,nude painting (nu),2401,3067,1824779,wikiart,Post-Impressionism,Nude,train_and_test,TRUE,73057.jpg
Felix Vallotton ,1916,genre painting,2334,3155,842888,wikiart,Magic Realism,"Bather, stormy sky",train_and_test,TRUE,95209.jpg
Raoul Dufy,1928,nude painting (nu),2416,3047,2179092,wikiart,Post-Impressionism,Naked ,train_and_test,TRUE,69548.jpg
Edwin Henry Landseer,1832,wildlife painting,3093,2380,4510560,wikiart,Romanticism,Deer and Deer Hounds in a Mountain Torrent,train_only,TRUE,51988.jpg
Edgar Degas,1895,genre painting,2536,2902,601799,wikiart,Impressionism,Dancers in Blue,train_and_test,TRUE,63091.jpg
Albrecht Durer,1506,religious painting,2352,3129,1046324,wikiart,Northern Renaissance,Madonna with the Siskin,train_and_test,TRUE,18039.jpg
Ferdinand Georg Waldmüller,1859,genre painting,3000,2452,4600522,wikipedia,Biedermeier,The sick pilgrim,train_and_test,TRUE,4063.jpg
Albrecht Durer,,animal painting,3000,2451,770019,wikiart,Northern Renaissance,Parrot,train_and_test,TRUE,28604.jpg
Felix Vallotton ,1924,still life,2495,2947,1217686,wikiart,Realism,Moroccan jug and pears,train_and_test,TRUE,8508.jpg
Vincent van Gogh,1884,still life,3071,2394,1984313,wikiart,Realism,"Still Life with Four Stone Bottles, Flask and White Cup ",train_and_test,TRUE,62470.jpg
Jacopo Pontormo,c.1520,religious painting,4096,1794,698910,wikiart,Mannerism (Late Renaissance),Adoration of the Magi,train_and_test,TRUE,37175.jpg
Henry Raeburn,,portrait,2400,3061,839023,wikiart,Romanticism,Francis Horner,train_and_test,TRUE,76890.jpg
Sven Jonson,1932,landscape,3097,2372,895357,wikiart,Surrealism,Figur i landskap IV,train_and_test,TRUE,99890.jpg
Theophile Steinlen,1895,landscape,3000,2448,759054,wikiart,Art Nouveau (Modern),Dorf Im Gewitter ,train_and_test,TRUE,34071.jpg
Ferdinand Georg Waldmüller,1848,landscape,3000,2448,4582210,wikipedia,Romanticism,View to Mödling,train_and_test,TRUE,64162.jpg
Before the Start,c.1892,genre painting,4096,1792,843036,wikiart,Impressionism,At the Races,train_and_test,TRUE,82842.jpg
Andrei Rublev,1408,religious painting,2812,2610,5546316,wikiart,Byzantine,The Last Judgement: Sabbas the Sanctified,train_and_test,TRUE,88361.jpg
Arnold Böcklin,1888,allegorical painting,3306,2220,3668713,wikiart,Symbolism,The Island of Life,train_and_test,TRUE,59554.jpg
Ferdinand Hodler,1908,sketch and study,3144,2334,3275680,wikiart,Art Nouveau (Modern),Pulling soldiers,train_and_test,TRUE,49077.jpg
Shitao,1667,landscape,2231,3288,1484866,wikiart,Ink and wash painting,"Between mountain and river, not far from Mount Huang",train_and_test,TRUE,64360.jpg
William Shayer,,genre painting,2443,3000,1899010,wikiart,Romanticism,A Rest by the Roadside,train_and_test,TRUE,16319.jpg
Shitao,1707,landscape,2248,3260,1463937,wikiart,Ink and wash painting,Moonlight on the cliff,train_and_test,TRUE,26221.jpg
Albrecht Durer,,sketch and study,2442,3000,777665,wikiart,Northern Renaissance,Study to a large fortune,train_and_test,TRUE,21262.jpg
Albrecht Durer,,sketch and study,2442,3000,919673,wikiart,Northern Renaissance,Design for the Fugger Chapel in Augsburg Samson fighting the Philistines,train_and_test,TRUE,89286.jpg
Albrecht Durer,,religious painting,2442,3000,952853,wikiart,Northern Renaissance,Doomsday,train_and_test,TRUE,5443.jpg
Kitagawa Utamaro,,genre painting,3600,2033,4575921,wikiart,Ukiyo-e,Moonlight Revelry at Dozo Sagami,train_and_test,TRUE,59990.jpg
Paolo Uccello,1460,religious painting,3176,2304,827608,wikiart,Early Renaissance,Episodes of the hermit life,train_and_test,TRUE,98202.jpg
Petrus Christus,c.1470,portrait,2366,3092,1423797,wikiart,Northern Renaissance,Portrait of a Young Girl,train_and_test,TRUE,16161.jpg
Giovanni Battista Tiepolo,1728,religious painting,3200,2286,681865,wikiart,Rococo,Rachel Hiding the Idols,train_and_test,TRUE,37631.jpg
Jean-Leon Gerome,1903,landscape,3232,2260,1720913,wikiart,Romanticism,Souvenir of Achéres,train_and_test,TRUE,63892.jpg
Edgar Degas,1878,genre painting,2310,3162,1777672,wikiart,Impressionism,Dancer Posing,train_and_test,TRUE,23523.jpg
Claude Lorrain,c.1645,landscape,3200,2282,932481,wikiart,Classicism,"Veduta of Delphi, with a sacrificial procession",train_and_test,TRUE,57991.jpg
William Blake,1809,illustration,2372,3076,1446393,wikiart,Symbolism,Illustration to Milton`s On the Morning of Christ`s Nativity ,train_and_test,TRUE,15525.jpg
William Hogarth,1740,portrait,2400,3039,859729,wikiart,Rococo,William Jones,train_and_test,TRUE,93937.jpg
Caspar David Friedrich,,genre painting,3000,2431,1043735,wikiart,Romanticism,Funeral scene at the beach,train_and_test,TRUE,54855.jpg
Thomas Gainsborough,,portrait,2401,3037,1987174,wikiart,Rococo,Portrait of the Artist's Daughters,train_and_test,TRUE,37338.jpg
Albrecht Altdorfer,1515,religious painting,2536,2875,1019512,wikiart,Northern Renaissance,Holy Family with an Angel,train_and_test,TRUE,89950.jpg
Henri Rousseau,1895,portrait,2190,3328,5630270,wikipedia,Naïve Art (Primitivism),Portrait of a Woman ,train_and_test,TRUE,10836.jpg
Albrecht Durer,,sketch and study,2429,3000,938914,wikiart,Northern Renaissance,Head of an apostle,train_and_test,TRUE,81650.jpg
Vincent van Gogh,1888,sketch and study,2987,2439,5714389,wikiart,Post-Impressionism,Field with Flowers,train_and_test,TRUE,47623.jpg
Albrecht Durer,,sketch and study,3000,2427,760945,wikiart,Northern Renaissance,Feet of an apostle,train_and_test,TRUE,8339.jpg
Albrecht Durer,,religious painting,2426,3000,852843,wikiart,Northern Renaissance,Visitation,train_and_test,TRUE,48340.jpg
George Stubbs,,animal painting,2892,2516,3566453,wikiart,Romanticism,A Chestnut Racehorse,train_and_test,TRUE,54838.jpg
Albrecht Durer,,portrait,2424,3000,720944,wikiart,Northern Renaissance,Portrait of a woman (Agnes Dürer) ,train_and_test,TRUE,83045.jpg
Edgar Degas,1873,genre painting,2310,3147,1461258,wikiart,Impressionism,The Pedicure,train_and_test,TRUE,95494.jpg
Marjorie Strider,1963,portrait,2418,3006,2394063,wikiart,Pop Art,Come Hither,train_only,TRUE,29989.jpg
Jean-Baptiste-Simeon Chardin,1771,self-portrait,2348,3092,2096685,wikiart,Rococo,Self-Portrait with Spectacles,train_and_test,TRUE,27962.jpg
Koloman Moser,1897,sketch and study,2820,2574,4697660,wikiart,Art Nouveau (Modern),The sketch of the round window art,train_and_test,TRUE,52552.jpg
Edward Burne-Jones,1883,allegorical painting,1919,3780,2473563,wikiart,Romanticism,The Wheel of Fortune,train_and_test,TRUE,86255.jpg
Claude Monet,1883,landscape,2997,2419,2395530,wikiart,Impressionism,Landscape near Montecarlo,train_and_test,TRUE,50977.jpg
Pieter de Hooch,1658,genre painting,2536,2858,804082,wikipedia,Baroque,Cardplayers,train_and_test,TRUE,84731.jpg
Edgar Degas,1883,genre painting,2285,3171,1610096,wikiart,Impressionism,The Cup of Tea (Breakfast after Bathing),train_and_test,TRUE,58952.jpg
Theophile Steinlen,1895,genre painting,2415,3000,816558,wikiart,Art Nouveau (Modern),Women Conversing  ,train_and_test,TRUE,86741.jpg
Dante Gabriel Rossetti,1872,portrait,2428,2980,4772063,wikiart,Romanticism,Veronica Veronese,train_and_test,TRUE,54385.jpg
Felix Vallotton ,1924,cityscape,2281,3172,931576,wikiart,Magic Realism,The Strong Castle and the place of Andelys,train_and_test,TRUE,76761.jpg
Claude Lorrain,1631,history painting,3200,2261,714094,wikiart,Classicism,The Siege of La Rochelle by Louis XIII,train_and_test,TRUE,58697.jpg
Edgar Degas,1897,nude painting (nu),2733,2647,1884355,wikiart,Impressionism,The Toilette,train_and_test,TRUE,26979.jpg
Pietro Longhi,,genre painting,2536,2851,497242,wikiart,Rococo,A Walk On Horseback,train_and_test,TRUE,96214.jpg
Frederic Leighton,,portrait,2244,3221,1175519,wikiart,Academicism,A Girl ,train_and_test,TRUE,41277.jpg
Sven Jonson,1963,landscape,3000,2407,2003978,wikiart,Surrealism,The sunset,train_and_test,TRUE,78703.jpg
Felix Vallotton ,1906,nude painting (nu),2273,3175,938227,wikiart,Magic Realism,Woman with the Jug,train_and_test,TRUE,15914.jpg
Edgar Degas,1877,genre painting,2304,3132,1560288,wikiart,Impressionism,Two Dancers on Stage,train_and_test,TRUE,20745.jpg
Kimon Loghi,,landscape,3093,2333,2505657,wikiart,Impressionism,Sunset,train_and_test,TRUE,58972.jpg
Allan Ramsay,,portrait,2400,3006,1086163,wikiart,Rococo,Sir Andrew Mitchell,train_and_test,TRUE,57916.jpg
George Frederick Watts,,portrait,2400,3005,921343,wikiart,Academicism,Robert Browning,train_and_test,TRUE,100984.jpg
Shitao,1707,landscape,2196,3284,1555682,wikiart,Ink and wash painting,"Not far from Mount Huang, the buffalo in the rice field",train_and_test,TRUE,37609.jpg
Titian,c.1564,religious painting,2024,3563,555133,wikiart,Mannerism (Late Renaissance),Annunciation,train_and_test,TRUE,86791.jpg
Ferdinand Hodler,c.1912,sketch and study,1602,4500,3617746,wikiart,Art Nouveau (Modern),Swearing to the front,train_and_test,TRUE,91187.jpg
Edgar Degas,1876,genre painting,2274,3170,1383529,wikiart,Impressionism,The Absinthe Drinker,train_and_test,TRUE,5701.jpg
George Frederick Watts,,portrait,2400,3003,2549685,wikiart,Academicism,"Sir Charles Wentworth Dilke, 2nd Bt",train_and_test,TRUE,31413.jpg
John Atkinson Grimshaw,1885,cityscape,2402,3000,1795206,wikiart,Romanticism,"Blackman Street, London",train_and_test,TRUE,32737.jpg
Le Nain brothers,,religious painting,2417,2980,823705,wikiart,Baroque,Mary Magdalene in Meditation,train_and_test,TRUE,25870.jpg
Pietro Perugino,1493,religious painting,2340,3078,818285,wikiart,High Renaissance,Madonna and Child with St. Catherine and St. Rosa,train_and_test,TRUE,17037.jpg
August Macke,1909,portrait,2536,2840,433366,wikiart,Expressionism,Portrait with apples (Portrait of the Artist's Wife),train_and_test,TRUE,55593.jpg
Giovanni Bellini,1508,religious painting,2272,3168,2379705,wikiart,High Renaissance,Madonna and Child in a landscape,train_only,TRUE,80525.jpg
Camille Corot,1829,portrait,2398,3000,1453313,wikiart,Realism,Portrait of a Gentleman,train_and_test,TRUE,84508.jpg
Theodore Gericault,1821,animal painting,3200,2248,698840,wikiart,Romanticism,The Epsom Derby,train_and_test,TRUE,5458.jpg
Albrecht Durer,,design,2536,2836,725632,wikiart,Northern Renaissance,Wappen Pirckheimer ,train_and_test,TRUE,1053.jpg
Tintoretto,1565,religious painting,4096,1755,715480,wikiart,Mannerism (Late Renaissance),Crucifixion,train_and_test,TRUE,88273.jpg
Claude Monet,1872,landscape,3000,2396,1206162,wikiart,Impressionism,Trees in Bloom,train_and_test,TRUE,38252.jpg
Edgar Degas,1892,nude painting (nu),2603,2760,1632640,wikiart,Impressionism,"After the Bath, Woman Drying Herself ",train_and_test,TRUE,76222.jpg
Pietro Perugino,1510,religious painting,2130,3372,946217,wikiart,High Renaissance,St. Sebastian tied to a Column,train_and_test,TRUE,87298.jpg
Albrecht Durer,,miniature,2394,3000,693310,wikiart,Northern Renaissance,Draft for a book sign lion,train_and_test,TRUE,1458.jpg
William-Adolphe Bouguereau,1867,portrait,2133,3367,271771,wikiart,Neoclassicism,Yvonette,train_and_test,TRUE,79278.jpg
George Frederick Watts,,portrait,2400,2992,1959489,wikiart,Academicism,Sir John Everett Millais,train_and_test,TRUE,83724.jpg
Angelica Kauffman,1775,portrait,2326,3085,745020,wikiart,Neoclassicism,Johann Wolfgang von Goethe,train_only,TRUE,1492.jpg
Francesco Hayez,1859,nude painting (nu),2536,2829,541198,wikiart,Romanticism,Back view of a bather,train_only,TRUE,99707.jpg
Claude Monet,1882,landscape,3000,2391,3595007,wikiart,Impressionism,The Church at Varengeville,train_and_test,TRUE,34888.jpg
Albrecht Durer,,sketch and study,2390,3000,970317,wikiart,Northern Renaissance,Arm of Eve,train_and_test,TRUE,71402.jpg
Claude Monet,1887,genre painting,3000,2390,2402461,wikiart,Impressionism,The Promenade near Limetz,train_and_test,TRUE,11308.jpg
Albrecht Durer,,genre painting,2536,2827,753468,wikiart,Northern Renaissance,Sixtus Tucher in open grave,train_and_test,TRUE,35666.jpg
Vittore Carpaccio,1498,religious painting,2536,2827,537392,wikiart,High Renaissance,The Departure of the English Ambassadors,train_and_test,TRUE,90143.jpg
George Frederick Watts,,portrait,2400,2987,1138024,wikiart,Academicism,John Passmore Edwards,train_and_test,TRUE,102155.jpg
Niko Pirosmani,,genre painting,3208,2234,3042580,wikiart,Naïve Art (Primitivism),Fruit stall,train_and_test,TRUE,48183.jpg
Frederic Leighton,1882,genre painting,2040,3510,4764899,wikiart,Academicism,Wedded,train_and_test,TRUE,86318.jpg
Le Nain brothers,c.1640,genre painting,2389,2997,924991,wikiart,Baroque,The Forging,train_and_test,TRUE,7394.jpg
Albrecht Durer,,sketch and study,2385,3000,670388,wikiart,Northern Renaissance,Naked man with mirror,train_and_test,TRUE,78776.jpg
Frederic Leighton,1891,mythological painting,2038,3510,3982592,wikiart,Academicism,Perseus and Andromeda,train_and_test,TRUE,51148.jpg
Andrea Mantegna,1474,genre painting,2024,3533,613854,wikiart,Early Renaissance,"Horse and groom with hunting dogs, from the Camera degli Sposi or Camera Picta(detail)",train_and_test,TRUE,82725.jpg
George Frederick Watts,,portrait,2400,2979,2246257,wikiart,Academicism,"George Douglas Campbell, 8th Duke of Argyll",train_and_test,TRUE,30546.jpg
George Frederick Watts,,portrait,2400,2979,756739,wikiart,Academicism,James Martineau,train_and_test,TRUE,31686.jpg
Caspar David Friedrich,c.1817,landscape,2383,3000,2526088,wikiart,Romanticism,Chalk Cliffs on Rügen,train_and_test,TRUE,55896.jpg
Vittore Carpaccio,1498,religious painting,2536,2819,640838,wikiart,High Renaissance,Arrival of St.Ursula during the Siege of Cologne,train_and_test,TRUE,89252.jpg
Theophile Steinlen,1900,nude painting (nu),2382,3000,733925,wikiart,Art Nouveau (Modern),Seated Nude ,train_and_test,TRUE,48284.jpg
Richard Hamilton,1970,sketch and study,2233,3200,1001474,wikiart,Pop Art,Fashion plate ,train_only,TRUE,96087.jpg
Mabuse,1527,religious painting,2342,3051,1097469,wikiart,Northern Renaissance,Madonna and Child,train_only,TRUE,10332.jpg
Theophile Steinlen,1909,illustration,3000,2381,893297,wikiart,Realism,Les Veuves De Courrieres  ,train_and_test,TRUE,88812.jpg
Albrecht Durer,,sketch and study,2536,2816,921128,wikiart,Northern Renaissance,Right Hand of an Apostle,train_and_test,TRUE,52950.jpg
Ferdinand Georg Waldmüller,1857,genre painting,3000,2380,4597808,wikipedia,Biedermeier,Corpus Christi Morning,train_and_test,TRUE,59980.jpg
Luis Sacilotto,1981,abstract,2124,3361,2246812,wikiart,Op Art,Concreção 8188,train_only,TRUE,72013.jpg
Odilon Redon,,flower painting,2232,3198,3950198,wikiart,Realism,The Red Poppy ,train_and_test,TRUE,18076.jpg
Arthur Hughes,1851,self-portrait,2400,2974,1485145,wikiart,Romanticism,Self-portrait,train_and_test,TRUE,71862.jpg
Camille Corot,1866,landscape,3080,2317,4473983,wikiart,Realism,"The Solitude. Recollection of Vigen, Limousin",train_and_test,TRUE,54582.jpg
Walter Crane,,illustration,2191,3257,681327,wikiart,Neo-Romanticism,Often she would stand upon the walls of Troy,train_only,TRUE,47235.jpg
Walter Crane,,illustration,2191,3257,846070,wikiart,Neo-Romanticism,In the earlist times a simple foot-race was the only event,train_only,TRUE,51550.jpg
